timestamp,base_price,demand_index,competitor_price,season,time_of_day,user_segment,season_factor,time_factor,segment_factor,hour,is_peak,peak_multiplier,dynamic_price,dynamic_price_uber
2025-06-01 00:00:00,202,0.98483,524,Low,Afternoon,Premium,0.9,1.1,1.2,0,False,1.0,236.34,236.34
2025-06-01 01:00:00,448,1.192436,175,Low,Morning,Premium,0.9,1.0,1.2,1,False,1.0,576.95,576.95
2025-06-01 02:00:00,370,0.769412,274,Mid,Night,Budget,1.0,0.95,0.9,2,False,1.0,243.4,243.4
2025-06-01 03:00:00,206,0.744126,374,Low,Evening,Premium,0.9,1.3,1.2,3,False,1.0,215.22,215.22
2025-06-01 04:00:00,171,0.668291,309,High,Night,Premium,1.2,0.95,1.2,4,False,1.0,156.33,156.33
2025-06-01 07:00:00,202,0.823,300,High,Morning,Standard,1.2,1.0,1.0,7,True,1.4,199.63,279.48
2025-06-01 08:00:00,221,0.899,310,Mid,Morning,Standard,1.0,1.0,1.0,8,True,1.4,198.66,278.13
2025-06-01 09:00:00,314,1.013,300,Mid,Morning,Standard,1.0,1.0,1.0,9,True,1.4,317.08,443.91
2025-06-01 17:00:00,305,1.05,320,High,Evening,Premium,1.2,1.3,1.2,17,True,1.4,626.77,877.48
2025-06-01 18:00:00,260,1.1,330,High,Evening,Premium,1.2,1.3,1.2,18,True,1.4,559.73,783.62
